Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Manufacturer PN,Mouser SKU,Type,Manufacturer,Elecrow ID,Elecrow Datasheet,Supplier,Manufaturer PN,Price,Supplier SKU
37,,N-MOSFET,Q7 Q8 Q9 Q10,IPW6045CP,TO-247_Vertical_Neutral123,4,,,,,,,,,,,
38,Resistor,R,R1 R2 R3 R4 R51 R52,0,R_0603,6,http://www.royalohm.com/pdf/product2017/GeneralPurpose.pdf,,,,,21903,,,,,
39,Resistor,R,R10 R12 R17 R20 R22 R24 R26 R27 R29 R33,1,R_0603,10,,,,,,23663,,,,,
40,Resistor,R,R5 R6 R7,10k,R_0603,3,http://www.royalohm.com/pdf/product2017/GeneralPurpose.pdf,,,,,26547,,,,,
41,Resistor,R,R9 R11 R18 R19 R21 R23 R25 R28 R30 R34,1k,R_0603,10,,,,,,21904,,,,,
42,Resistor,R_Small,R39 R42 R43 R45 R48 R49,2.2K,R_0603,6,http://www.royalohm.com/pdf/product2017/GeneralPurpose.pdf,,,,,4597,,,,,
43,Resistor,R,R14 R32 R38 R53 R54 R55 R56 R57,2.2M,R_1206_HandSoldering,8,,,,,,,,,,,
44,Resistor,R,R13 R15 R31 R36 R37,22K,R_0603,5,,,,,,32812,,,,,
45,Resistor,R,R8,510,R_0603,1,http://www.royalohm.com/pdf/product2017/GeneralPurpose.pdf,,,,,23920,,,,,
46,Resistor,R_Small,R40 R41 R44 R46 R47 R50,6.8K,R_0603,6,http://www.royalohm.com/pdf/product2017/GeneralPurpose.pdf,,,,,23939,,,,,
47,Button,SW_PUSH,SW1,SW_PUSH,SW_SPST_PTS645,1,http://www.mouser.com/ds/2/418/NG_CD_2-1437565-7_V-663783.pdf,,,,,,,,,,
48,,ACS712,U5 U6 U18 U19 U21 U23,ACS712,ACS712,6,http://www.allegromicro.com/~/Media/Files/Datasheets/ACS712-Datasheet.ashx,,,,,,,,,,
49,Isolated mosfet driver 4A,ADUM3223,U1 U4 U8 U10 U16,ADUM3223,SOIC-16_3.9x9.9mm_Pitch1.27mm,5,,,,,,,,,,,
50,Linear Regulator +5V,AZ1117-3.3,U14,AZ1117-3.3,DPAK-3,1,http://www.diodes.com/_files/datasheets/AZ1117.pdf,,,,,,,,,,
51,Linear Regulator +5V,AZ1117-3.3,U12,AZ1117-5,SOT-223,1,http://www.diodes.com/_files/datasheets/AZ1117.pdf,,,,,,,,,,
